Year,Month,tran_Lat,tran_Lon,No,Day,Lat,Lon,SST.boat.,sp1,sp2,sp3,sp4,sp5,sp6,sp7,sp8,sp9,sp10,sp11,Tonnage.A,HP.A,Light.A,area,cluster11,cluster12,cluster13,SST,chla,SSS,dummy
2009,3,25,122,15500,24,25.05,121.95,20.7,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,8,7,7,21.45,NA,0.02,0
2009,3,25,122,15510,26,25.03,121.95,20.7,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,8,7,7,21.45,NA,0.02,0
2009,3,25.2,121.8,15486,21,25.18,121.77,20.5,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,8,7,7,20.54,0.75,-0.01,0
2009,3,25.2,121.8,15498,24,25.18,121.82,20.5,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,8,7,7,20.54,0.75,-0.01,0
2009,3,25.2,121.8,15494,23,25.16,121.78,20.5,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,8,7,7,20.54,0.75,-0.01,0
2009,3,25.2,121.8,15491,22,25.16,121.8,20.5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,8,7,7,20.54,0.75,-0.01,0
2009,3,25.2,121.8,15516,27,25.18,121.86,20.5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,8,7,7,20.54,0.75,-0.01,0
2009,3,25.2,121.8,15507,26,25.14,121.86,20.5,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,8,7,7,20.54,0.75,-0.01,0
2009,3,25.2,121.8,15503,25,25.18,121.86,20.5,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,8,7,7,20.54,0.75,-0.01,0
2009,3,25.4,121.8,15506,26,25.45,121.86,21.6,60,10,NA,50,NA,NA,NA,NA,NA,NA,NA,4,2,3,1,2,3,6,19.91,0.84,-0.02,1
2009,3,25.4,122,15527,28,25.48,121.92,20.4,60,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3,1,1,6,8,20.11,0.76,-0.01,1
